"Rule","Severity","File","Line","Message","Value"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","30","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/release/Distribution-Contents.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","31","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/release/Final-Release-Checklist.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","32","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/review/RELEASE-READINESS-STATUS-2.0.0.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","33","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/release/Release-Evidence-Index.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","34","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/glossary.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","35","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/licence.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","36","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/third-party-notices.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","37","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/data-source-notices.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\AdministratorGuide-document-inventory.md","38","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/acknowledgements.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","7","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/coverpage.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","8","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/copyright.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","9","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/revision-history.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","10","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/shared/introduction.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","11","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","12","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/command-line-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","13","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/configuration-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","14","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/database-configuration.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","15","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/plugin-api-reference.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\build\APIReference-document-inventory.md","16","Generated documents must retain this label as text but remove the .md hyperlink.","../../docs/reference/plugin-registry-reference.md"
